CP_Hotellist;
Grouped by Tier, URI and Query;
;
URI;Query
/boka-resa;QueryDepID=2788&QueryCtryID=32&QueryAreaID=139&QueryResID=0&QueryDepDate=20180610&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42%2C42%2C42&QueryUnits=0
/boka-resa;QueryDepID=2770&QueryCtryID=20&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180818&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42&QueryUnits=1&orderBy=LP&selectedTransport=CgJWUxIDR09UGgNTUFUgCCoECMqVAjICMzE6AUU%3D
/boka-resa;QueryDepID=2583&QueryCtryID=22&QueryAreaID=0&QueryResID=319&QueryDepDate=20180608&QueryDur=8&CategoryId=2&QueryRoomAges=|42,42&QueryUnits=0
/boka-resa;QueryDepID=2770&QueryCtryID=20&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180912&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42&QueryUnits=1&filter=false&selectedTransport=CgJWUxIDR09UGgNTUFUgCCoECIiWAjICNjE6AUU%3D&firstDisplayed=CgJWUxIDR09UGgNTUFUgCCoECPSVAjICMzE6AUU%3D&orderBy=LP
/boka-resa;QueryDepID=2770&QueryCtryID=-1&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180621&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42&QueryUnits=0&firstDisplayed=CgJWUxIDR09UGgNDSFEgCCoECM6UAjICNDE6AUU%3D&selectedTransport=CgJWUxIDR09UGgNTUFUgCCoECNKUAjICNjE6AUU%3D&orderBy=LP&filter=false&filterValue=b%2Cprice%3An25000%2Cdb%3An500%2Cdc%3An1000%2Cpool
/boka-resa;QueryDepID=11937&QueryCtryID=65&QueryAreaID=0&QueryResID=169&QueryDepDate=20180508&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42&QueryUnits=0&firstDisplayed=CgJWUxIDTU1BGgNQTUkgCCoECPaTAjICMjE6AUU%3D&selectedTransport=CgJWUxIDTU1BGgNQTUkgCCoECISUAjICMjE6AUU%3D
/boka-resa;QueryDepID=2782&QueryCtryID=32&QueryAreaID=0&QueryResID=267&QueryDepDate=20180826&QueryDur=8&CategoryId=2&QueryRoomAges=|42,42,8&QueryUnits=0
/boka-resa;QueryDepID=11937&QueryCtryID=65&QueryAreaID=0&QueryResID=-1&QueryDepDate=20190327&QueryDur=29&CategoryId=2&QueryRoomAges=%7C42&QueryUnits=1
/boka-resa;QueryDepID=11937&QueryCtryID=22&QueryAreaID=0&QueryResID=319&QueryDepDate=20180521&QueryDur=8&CategoryId=2&QueryRoomAges=|42&QueryUnits=1
/boka-resa;QueryDepID=2788&QueryCtryID=65&QueryAreaID=0&QueryResID=201&QueryDepDate=20190224&QueryDur=8&CategoryId=2&QueryRoomAges=|42,42,3,5&QueryUnits=0
/boka-resa;QueryDepID=2770&QueryCtryID=-1&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180610&QueryDur=8&CategoryId=2&QueryRoomAges=|42,42&QueryUnits=0
/boka-resa;QueryDepID=2770&QueryCtryID=65&QueryAreaID=127&QueryResID=0&QueryDepDate=20180803&QueryDur=8&CategoryId=2&QueryRoomAges=|42,42&QueryUnits=0
/boka-resa;QueryDepID=11937&QueryCtryID=22&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180709&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42%2C2%2C3&QueryUnits=1&selectedTransport=CgJWUxIDTU1BGgNMQ0EgCCoECICVAjICMTE6AUU%3D
/boka-resa;QueryDepID=11937&QueryCtryID=32&QueryAreaID=0&QueryResID=280&QueryDepDate=20180816&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42&QueryUnits=0&firstDisplayed=CgJWUxIDTU1BGgNDSFEgCCoECL6VAjICNDE6AUU%3D&selectedTransport=CgJWUxIDTU1BGgNDSFEgCCoECL6VAjICNDE6AUU%3D
/boka-resa;QueryDepID=2583&QueryCtryID=-1&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180508&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42&QueryUnits=1&selectedTransport=CgJWUxIDQ1BIGgNMUEEgCCoECPiTAjICMzE6AUU%3D&firstDisplayed=CgJWUxIDQ1BIGgNQTUkgCCoECPaTAjICMjE6AUU%3D
/boka-resa;QueryDepID=11937&QueryCtryID=-1&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180622&QueryDur=15&CategoryId=2&QueryRoomAges=|42,42&QueryUnits=1
/boka-resa;QueryDepID=2770&QueryCtryID=-1&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180702&QueryDur=8&CategoryId=2&QueryRoomAges=|42,42&QueryUnits=1
