CP_Hotellist;;
Grouped by Tier, URI and Query;;
;;
URI;Query;Count
/boka-resa;QueryDepID=2770&QueryCtryID=-1&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180710&QueryDur=15&CategoryId=2&QueryRoomAges=%7C42%2C42%2C15&QueryUnits=0&selectedTransport=CgJWUxIDR09UGgNIRVIgDyoECPiUAjICNDE6AUU%3D&firstDisplayed=CgJWUxIDR09UGgNWQVIgDyoECPSUAjICMjE6AUU%3D;10
/boka-resa;QueryDepID=11937&QueryCtryID=32&QueryAreaID=99&QueryResID=0&QueryDepDate=20180717&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42%2C11&QueryUnits=1&selectedTransport=CgJWUxIDTU1BGgNDSFEgCCoECIaVAjICNDE6AUU%3D&orderBy=LP;10
/boka-resa;QueryDepID=2788&QueryCtryID=71&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180812&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42%2C42%2C42&QueryUnits=0&selectedTransport=CgJWUxIDQVJOGgNBWVQgCCoECMKVAjICNjE6AUU%3D;8
/boka-resa;QueryDepID=2788&QueryCtryID=65&QueryAreaID=127&QueryResID=0&QueryDepDate=20181002&QueryDur=8&CategoryId=2&QueryRoomAges=|42,42&QueryUnits=1;7
/boka-resa;QueryDepID=2788&QueryCtryID=-1&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180707&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42%2C3%2C13&QueryUnits=0&filter=false&firstDisplayed=CgJWUxIDQVJOGgNQTUkgCCoECO6UAjICNjE6AUU%3D&selectedTransport=CgJWUxIDQVJOGgNQTUkgCCoECO6UAjICNjE6AUU%3D;7
/boka-resa;QueryDepID=2783&QueryCtryID=20&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180707&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42&QueryUnits=1&selectedTransport=CgJWUxIDT1JCGgNTUFUgCCoECPyUAjICNjE6AUU%3D;7
/boka-resa;QueryDepID=2779&QueryCtryID=-1&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180817&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42%2C42&QueryUnits=1&firstDisplayed=CgJWUxIDTExBGgNMQ0EgCCoECMCVAjICNTE6AUU%3D&selectedTransport=CgJWUxIDTExBGgNSSE8gCCoECMqVAjICMzE6AUU%3D;6
/boka-resa;QueryDepID=2770&QueryCtryID=65&QueryAreaID=0&QueryResID=-1&QueryDepDate=20180605&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42%2C3%2C7%2C10&QueryUnits=1&firstDisplayed=CgJWUxIDR09UGgNQTUkgCCoECK6UAjICMjE6AUU%3D&selectedTransport=CgJWUxIDR09UGgNQTUkgCCoECK6UAjICMjE6AUU%3D;6
/boka-resa;QueryDepID=2788&QueryCtryID=22&QueryAreaID=0&QueryResID=319&QueryDepDate=20180820&QueryDur=8&CategoryId=2&QueryRoomAges=%7C42%2C42&QueryUnits=0;6
/boka-resa;QueryDepID=2788&QueryCtryID=54906&QueryAreaID=0&QueryResID=-1&QueryDepDate=20181018&QueryDur=8&CategoryId=2&QueryRoomAges=|42,42&QueryUnits=1;5
